住民基本台帳による人口,,,(平成31年1月末日現在）,,,,,,,,
町名,世帯数,人口計,人口（男）,人口（女）,,,,,,,
入舟町,374,634,266,368,,,,,,,
船見町,525,925,422,503,,,,,,,
弥生町,612,1110,484,626,,,,,,,
弁天町,578,990,451,539,,,,,,,
大町,364,578,290,288,,,,,,,
末広町,586,897,376,521,,,,,,,
元町,598,1011,421,590,,,,,,,
青柳町,986,1727,795,932,,,,,,,
谷地頭町,747,1348,582,766,,,,,,,
住吉町,516,842,369,473,,,,,,,
宝来町,803,1381,595,786,,,,,,,
東川町,660,1145,501,644,,,,,,,
豊川町,492,847,373,474,,,,,,,
大手町,427,675,308,367,,,,,,,
栄町,624,999,426,573,,,,,,,
旭町,399,632,249,383,,,,,,,
東雲町,243,457,191,266,,,,,,,
大森町,946,1439,674,765,,,,,,,
松風町,282,409,180,229,,,,,,,
若松町,702,1200,534,666,,,,,,,
千歳町,525,829,369,460,,,,,,,
新川町,722,1128,502,626,,,,,,,
上新川町,369,617,262,355,,,,,,,
海岸町,721,1139,496,643,,,,,,,
大縄町,805,1295,577,718,,,,,,,
松川町,1277,2145,944,1201,,,,,,,
万代町,753,1183,540,643,,,,,,,
浅野町,2,7,4,3,,,,,,,
吉川町,349,665,290,375,,,,,,,
北浜町,482,753,348,405,,,,,,,
港町１丁目,1382,2558,1264,1294,,,,,,,
港町２丁目,793,1361,659,702,,,,,,,
港町３丁目,955,1409,682,727,,,,,,,
追分町,493,1029,505,524,,,,,,,
亀田町,884,1541,724,817,,,,,,,
大川町,1088,2010,859,1151,,,,,,,
田家町,1401,2530,1105,1425,,,,,,,
白鳥町,967,1606,734,872,,,,,,,
八幡町,933,1623,734,889,,,,,,,
宮前町,1213,1873,805,1068,,,,,,,
中島町,1505,2390,1029,1361,,,,,,,
千代台町,1180,1861,826,1035,,,,,,,
堀川町,1154,1892,835,1057,,,,,,,
高盛町,875,1570,698,872,,,,,,,
宇賀浦町,487,813,372,441,,,,,,,
日乃出町,875,1375,644,731,,,,,,,
的場町,1141,2144,946,1198,,,,,,,
時任町,1106,1939,862,1077,,,,,,,
杉並町,761,1291,540,751,,,,,,,
本町,1180,1718,700,1018,,,,,,,
梁川町,898,1481,675,806,,,,,,,
五稜郭町,968,1487,678,809,,,,,,,
柳町,412,721,305,416,,,,,,,
松陰町,1335,2408,1030,1378,,,,,,,
人見町,1090,1887,828,1059,,,,,,,
金堀町,409,736,377,359,,,,,,,
乃木町,679,1301,643,658,,,,,,,
柏木町,1872,3304,1467,1837,,,,,,,
川原町,927,1510,657,853,,,,,,,
